codigo,asignatura,jv1,acum
1510107,ciencias_politicas_economicas,4.3,1.07
1510107,competencias_ciudadanas,4.4,1.1
1510107,dibujo,4.1,1.02
1510107,educacion_etica_religiosa,4.6,1.15
1510107,educacion_fisica_rd,2.7,0.67
1510107,electronica,3.9,0.97
1510107,filosofia,3.0,0.75
1510107,fisica,2.7,0.67
1510107,informatica_tecnologia,3.5,0.87
1510107,ingles_avanzado,2.5,0.62
1510107,lengua_castellana,3.5,0.87
1510107,logica_matematica,3.2,0.8
1510107,programacion,4.1,1.02
1510107,quimica,3.5,0.87
1510107,teatro,3.4,0.85
1510107,trigonometria,2.8,0.7
1510195,ciencias_politicas_economicas,4.0,1.0
1510195,competencias_ciudadanas,2.8,0.7
1510195,dibujo,3.7,0.92
1510195,educacion_etica_religiosa,4.7,1.17
1510195,educacion_fisica_rd,3.7,0.92
1510195,electronica,2.9,0.72
1510195,filosofia,4.9,1.22
1510195,fisica,2.0,0.5
1510195,informatica_tecnologia,3.6,0.9
1510195,ingles_avanzado,2.5,0.62
1510195,lengua_castellana,3.2,0.8
1510195,logica_matematica,2.8,0.7
1510195,programacion,3.1,0.77
1510195,quimica,3.7,0.92
1510195,teatro,3.7,0.92
1510195,trigonometria,2.2,0.55
1610112,ciencias_politicas_economicas,4.0,1.0
1610112,competencias_ciudadanas,4.7,1.17
1610112,dibujo,4.3,1.07
1610112,educacion_etica_religiosa,4.7,1.17
1610112,educacion_fisica_rd,3.5,0.87
1610112,electronica,3.3,0.82
1610112,filosofia,5.0,1.25
1610112,fisica,3.0,0.75
1610112,informatica_tecnologia,3.9,0.97
1610112,ingles_avanzado,3.1,0.77
1610112,lengua_castellana,3.3,0.82
1610112,logica_matematica,3.4,0.85
1610112,programacion,4.5,1.12
1610112,quimica,4.1,1.02
1610112,teatro,3.7,0.92
1610112,trigonometria,3.3,0.82
1610146,ciencias_politicas_economicas,3.6,0.9
1610146,competencias_ciudadanas,3.8,0.95
1610146,dibujo,4.3,1.07
1610146,educacion_etica_religiosa,4.2,1.05
1610146,educacion_fisica_rd,3.7,0.92
1610146,electronica,3.8,0.95
1610146,filosofia,2.9,0.72
1610146,fisica,3.0,0.75
1610146,informatica_tecnologia,3.4,0.85
1610146,ingles_avanzado,2.4,0.6
1610146,lengua_castellana,2.8,0.7
1610146,logica_matematica,3.2,0.8
1610146,programacion,3.3,0.82
1610146,quimica,3.3,0.82
1610146,teatro,3.6,0.9
1610146,trigonometria,3.0,0.75
1610159,ciencias_politicas_economicas,4.0,1.0
1610159,competencias_ciudadanas,3.8,0.95
1610159,dibujo,3.5,0.87
1610159,educacion_etica_religiosa,4.6,1.15
1610159,educacion_fisica_rd,2.9,0.72
1610159,electronica,4.0,1.0
1610159,filosofia,5.0,1.25
1610159,fisica,2.6,0.65
1610159,informatica_tecnologia,4.3,1.07
1610159,ingles_avanzado,3.0,0.75
1610159,lengua_castellana,4.0,1.0
1610159,logica_matematica,2.1,0.52
1610159,programacion,2.8,0.7
1610159,quimica,3.4,0.85
1610159,teatro,3.9,0.97
1610159,trigonometria,3.0,0.75
1610227,ciencias_politicas_economicas,4.3,1.07
1610227,competencias_ciudadanas,4.2,1.05
1610227,dibujo,4.6,1.15
1610227,educacion_etica_religiosa,4.4,1.1
1610227,educacion_fisica_rd,4.0,1.0
1610227,electronica,3.5,0.87
1610227,filosofia,4.2,1.05
1610227,fisica,3.4,0.85
1610227,informatica_tecnologia,3.9,0.97
1610227,ingles_avanzado,3.7,0.92
1610227,lengua_castellana,3.8,0.95
1610227,logica_matematica,3.1,0.77
1610227,programacion,3.0,0.75
1610227,quimica,3.4,0.85
1610227,teatro,4.1,1.02
1610227,trigonometria,3.2,0.8
1710252,ciencias_politicas_economicas,4.5,1.12
1710252,competencias_ciudadanas,4.8,1.2
1710252,dibujo,4.2,1.05
1710252,educacion_etica_religiosa,5.0,1.25
1710252,educacion_fisica_rd,3.6,0.9
